,E,T,N
43.59,0.8333333333328943,-1.1778107422037099e-12,1.5000000000833946
43.6,0.8333333333328939,-1.1890211807759094e-12,1.5000000000826903
43.61,0.8333333333328936,-1.2001293761644497e-12,1.5000000000819877
43.62,0.8333333333328933,-1.211134957018778e-12,1.500000000081287
43.63,0.8333333333328931,-1.2220375519883523e-12,1.500000000080588
43.64,0.8333333333328927,-1.2328367897226076e-12,1.5000000000798908
43.65,0.8333333333328924,-1.243532298871003e-12,1.5000000000791953
43.660000000000004,0.8333333333328921,-1.2541237080829945e-12,1.5000000000785019
43.67,0.8333333333328918,-1.2646106460080156e-12,1.5000000000778102
43.68,0.8333333333328915,-1.2749927412955265e-12,1.5000000000771203
43.69,0.8333333333328912,-1.2852696225949772e-12,1.5000000000764322
43.7,0.833333333332891,-1.295440918555823e-12,1.500000000075746
43.71,0.8333333333328906,-1.3055062578275003e-12,1.5000000000750617
43.72,0.8333333333328904,-1.3154652690594667e-12,1.5000000000743792
43.730000000000004,0.8333333333328902,-1.3253175809011784e-12,1.5000000000736988
43.74,0.83333333333289,-1.3350628220020713e-12,1.50000000007302
43.75,0.8333333333328896,-1.3447006210116046e-12,1.5000000000723435
43.76,0.8333333333328894,-1.354230606579224e-12,1.5000000000716687
43.77,0.8333333333328892,-1.3636524073543913e-12,1.5000000000709959
43.78,0.833333333332889,-1.372965651986539e-12,1.500000000070325
43.79,0.8333333333328887,-1.3821699691251251e-12,1.500000000069656
43.800000000000004,0.8333333333328885,-1.3912649874196073e-12,1.5000000000689893
43.81,0.8333333333328884,-1.4002503355194208e-12,1.5000000000683242
43.82,0.8333333333328882,-1.4091256420740238e-12,1.5000000000676614
43.83,0.833333333332888,-1.4178905357328638e-12,1.5000000000670004
43.84,0.8333333333328877,-1.4265446451453997e-12,1.5000000000663416
43.85,0.8333333333328876,-1.4350875989610673e-12,1.5000000000656848
43.86,0.8333333333328874,-1.4435190258293236e-12,1.50000000006503
43.87,0.8333333333328873,-1.451838554399619e-12,1.5000000000643774
43.88,0.8333333333328871,-1.4600458133214075e-12,1.5000000000637266
43.89,0.833333333332887,-1.4681404312441292e-12,1.500000000063078
43.9,0.8333333333328868,-1.4761220368172393e-12,1.5000000000624316
43.910000000000004,0.8333333333328867,-1.483990258690193e-12,1.5000000000617872
43.92,0.8333333333328865,-1.4917447255124297e-12,1.500000000061145
43.93,0.8333333333328864,-1.4993850659334047e-12,1.500000000060505
43.94,0.8333333333328863,-1.5069109086025681e-12,1.500000000059867
43.95,0.8333333333328862,-1.5143218821693753e-12,1.5000000000592313
43.96,0.8333333333328862,-1.5216176152832652e-12,1.5000000000585976
43.97,0.8333333333328861,-1.5287977365936932e-12,1.500000000057966
43.980000000000004,0.833333333332886,-1.5358618747501149e-12,1.5000000000573368
43.99,0.8333333333328858,-1.5428096584019695e-12,1.5000000000567097
44.0,0.8333333333328858,-1.5496407161987121e-12,1.500000000056085
44.01,0.8333333333328857,-1.5563546767897935e-12,1.5000000000554623
44.02,0.8333333333328856,-1.5629511688246672e-12,1.500000000054842
44.03,0.8333333333328856,-1.5694298209527745e-12,1.5000000000542237
44.04,0.8333333333328856,-1.5757902618235705e-12,1.5000000000536078
44.050000000000004,0.8333333333328855,-1.582032120086508e-12,1.5000000000529943
44.06,0.8333333333328855,-1.5881550243910298e-12,1.500000000052383
44.07,0.8333333333328855,-1.5941586033865899e-12,1.500000000051774
